id,Name,Lat,Long,Race
101,Ball Sq,42.39918259930251,-71.11104454854285,White
406,Somerville City Hall Annex,42.39189811591863,-71.09745375830244,White
431,Washington St at Fuller St,42.281986277339136,-71.07147924620222,Black
408,Edgerly Education Center,42.38717463348314,-71.08714388528824,White
407,Craigie at Summer St,42.388305537644,-71.11067976811682,White
409,Elm St at White St,42.38952436305763,-71.11694140364307,White
383,MTL-ECO5.1-01,0.0,0.0,
382,MTL-ECO4-01,0.0,0.0,
412,Washington St at Peters Park,42.34303291130257,-71.06688730436872,White
411,Dorchester Ave at King St,42.29175621632091,-71.0625918023743,White
410,Adams St at Lonsdale St,42.291679428741226,-71.05726346409938,White
426,Surface Rd at Summer St,42.35294569782581,-71.05656400803126,White
413,Kennedy-Longfellow School 158 Spring St,42.36955297756508,-71.08579014980933,White
414,Discovery Park - 30 Acorn Park Drive,42.39790817368333,-71.14797130814623,White
415,Stuart St at Berkeley St,42.34954403114251,-71.0724207387284,White
416,Blossom St at Charles St,42.36435589027983,-71.0695936904267,White
417,Columbus Ave at W. Canton St,42.34474224772802,-71.07648162175792,White
419,Central Square East Boston,42.37544912547037,-71.03918548682486,Hispanic or Latino
420,Charles St at Pinckney St,42.35872530462163,-71.07079532006537,White
421,Northbourne Rd at Hyde Park Ave,42.29118034790426,-71.117736660035,White
422,American Legion Hwy at Canterbury St,42.278811581565975,-71.11687703062671,Hispanic or Latino
223,Mobile Temporary Station 2,0.0,0.0,
423,Mt. Hope St at Hyde Park Ave,42.28484472443536,-71.11874517062459,Hispanic or Latino
433,Centre St at Parkway YMCA,42.28277901074054,-71.15728851416861,White
425,The Dimock Center,42.3193094317828,-71.09639923859504,Hispanic or Latino
424,Jamaica St at South St,42.3060456272408,-71.11570891001975,White
428,Western Ave at Richardson St,42.36178741066188,-71.14393111327445,White
427,Washington St at Denton Terr,42.280728147169015,-71.13423757273267,White
430,Washington St at Walsh Playground,42.27719469639791,-71.06955613950048,Black
432,Centre St at W. Roxbury Post Office,42.28633199112775,-71.15344755369732,White
435,Central Ave at River St,42.27094707029229,-71.07337901405117,Black
436,Maverick St at Massport Path,42.36774122306014,-71.0333597474255,White
437,Berkshire Street at Cambridge Street,42.37207657915397,-71.08995433905875,White
438,Mobile Temporary Station,42.35967536371111,-71.10160055174674,White
434,Spring St at Powell St,42.277484442008216,-71.16341467955863,White
441,Sullivan Square,42.38445225635844,-71.07514854529654,White
440,Boston Landing,42.35656092308941,-71.14167537549292,White
443,Whittier St Health Center,42.33286288486264,-71.09218861916816,White
442,Hyde Park Ave at Walk Hill St,42.29606704649873,-71.11601199963843,White
446,700 Commonwealth Ave.,42.34960945333059,-71.10391523698127,White
445,Geiger Gibson Community Health Center,42.31886468217537,-71.04536797860419,Asian
447,The Overlook at St. Gabriel's,42.34679008347347,-71.14549813806661,Hispanic or Latino
448,Hale Park,42.414962648832656,-71.05279301009432,White
450,Beacon St at Englewood Ave,42.33736915370925,-71.14485977232107,White
452,Beacon St at St. Paul St,42.34373094998716,-71.11614107161584,White
453,Beacon St at Hawes St,42.34496783328529,-71.11040176903771,White
451,Washington Sq,42.33940659197945,-71.13489642273635,White
454,Boylston St at Dartmouth St,42.35010609546997,-71.07720464005979,White
455,Coolidge Sq.,42.37207611472287,-71.15683130688922,White
458,Watertown Sq,42.365260317694485,-71.18573324459247,White
457,N. Beacon St at N. Beacon Ct,42.36444157139109,-71.18091373646166,White
456,Graham and Parks School – Linnaean St at Walker St,42.38294430172271,-71.12449831038248,White
459,Canal St at Causeway St,42.36530094929082,-71.06092190993877,White
460,Broad St at Central St,42.35849449039304,-71.05426469875965,White
461,Railroad Lot and Minuteman Bikeway,42.416084844039744,-71.15315407052549,White
462,Linwood St at Minuteman Bikeway,42.40935395518158,-71.14906518727366,White
463,Smith Pl at Wilson Rd,42.39239749145834,-71.15058331757609,White
464,Mass Ave at Grafton St,42.40726052447951,-71.14382132425817,White
465,Broadway at Grafton St,42.40994213011757,-71.14009319811885,White
470,Union St at Herrick Rd – Newton Centre Green Line,42.32956868185623,-71.19367271661758,White
467,Washington St at Crafts St,42.35389024396587,-71.19943707257335,White
468,Nonantum Library,42.36068455768156,-71.20146199598821,White
469,Bacon St at Washington St,42.35711920909866,-71.1860453666327,White
466,Centre St at Washington St,42.35574334805774,-71.18641942508475,White
476,Boylston St at Charles St,42.3525760946701,-71.06764405041758,Hispanic or Latino
477,Marion St at White St,42.38066930871317,-71.03907315999093,Hispanic or Latino
478,Gove St at Orleans St,42.37057753242139,-71.03558540113227,Hispanic or Latino
471,MIT Carleton St at Amherst St,42.36054174140606,-71.08669817447662,Asian
472,MIT Hayward St at Amherst St,42.36085937353302,-71.08551858007559,Asian
475,Arsenal Yards,42.36277388549605,-71.15764854490408,White
474,West Newton Armory,42.34947178098653,-71.22000678911718,White
473,West Newton,42.34960049864208,-71.2262749671936,White
479,Galileo Galilei Way at Main Street,42.363003781560096,-71.08974037706501,Asian
